task_id,algorithm,fold,classif.auc,classif.ce
CanadaFires_downSampled,nearest_neighbors,2,0.994784876140808,0.0333333333333333
CanadaFires_downSampled,nearest_neighbors,3,0.9818401937046,0.04
CanadaFires_downSampled,nearest_neighbors,4,0.997578692493947,0.0266666666666667
CanadaFires_downSampled,nearest_neighbors,5,0.996045197740113,0.0201342281879195
CanadaFires_downSampled,nearest_neighbors,6,0.996421845574388,0.0402684563758389
CanadaFires_downSampled,nearest_neighbors,7,0.996233521657251,0.0335570469798658
CanadaFires_downSampled,nearest_neighbors,8,0.995291902071563,0.0335570469798658
CanadaFires_downSampled,nearest_neighbors,9,0.997318007662835,0.0337837837837838
CanadaFires_downSampled,nearest_neighbors,10,0.986148779542813,0.0476190476190476
CIFAR10,nearest_neighbors,1,,0.639
CIFAR10,nearest_neighbors,2,,0.639833333333333
CIFAR10,nearest_neighbors,3,,0.625
CIFAR10,nearest_neighbors,4,,0.6405
CIFAR10,nearest_neighbors,5,,0.630666666666667
CIFAR10,nearest_neighbors,6,,0.635666666666667
CIFAR10,nearest_neighbors,7,,0.629666666666667
CIFAR10,nearest_neighbors,8,,0.630833333333333
CIFAR10,nearest_neighbors,9,,0.6335
CIFAR10,nearest_neighbors,10,,0.620333333333333
EMNIST,nearest_neighbors,1,,0.0397142857142857
EMNIST,nearest_neighbors,2,,0.04
EMNIST,nearest_neighbors,3,,0.0468571428571429
EMNIST,nearest_neighbors,4,,0.0474285714285714
EMNIST,nearest_neighbors,5,,0.0431428571428571
EMNIST,nearest_neighbors,6,,0.0405714285714286
EMNIST,nearest_neighbors,7,,0.0412857142857143
EMNIST,nearest_neighbors,8,,0.041
EMNIST,nearest_neighbors,9,,0.0404285714285714
EMNIST,nearest_neighbors,10,,0.0424285714285714
FashionMNIST,nearest_neighbors,1,,0.141571428571429
FashionMNIST,nearest_neighbors,2,,0.132714285714286
FashionMNIST,nearest_neighbors,3,,0.129
FashionMNIST,nearest_neighbors,4,,0.131285714285714
FashionMNIST,nearest_neighbors,5,,0.139
FashionMNIST,nearest_neighbors,6,,0.139857142857143
FashionMNIST,nearest_neighbors,7,,0.136714285714286
FashionMNIST,nearest_neighbors,8,,0.142714285714286
FashionMNIST,nearest_neighbors,9,,0.139857142857143
FashionMNIST,nearest_neighbors,10,,0.130857142857143
KMNIST,nearest_neighbors,1,,0.0395714285714286
KMNIST,nearest_neighbors,2,,0.0428571428571429
KMNIST,nearest_neighbors,3,,0.0412857142857143
KMNIST,nearest_neighbors,4,,0.0414285714285714
KMNIST,nearest_neighbors,5,,0.0445714285714286
KMNIST,nearest_neighbors,6,,0.042
KMNIST,nearest_neighbors,7,,0.0418571428571429
KMNIST,nearest_neighbors,8,,0.0371428571428571
KMNIST,nearest_neighbors,9,,0.0381428571428571
KMNIST,nearest_neighbors,10,,0.0457142857142857
MNIST,nearest_neighbors,1,,0.0463623395149786
MNIST,nearest_neighbors,2,,0.0523761952333381
MNIST,nearest_neighbors,3,,0.0499857183661811
MNIST,nearest_neighbors,4,,0.0449935723468076
MNIST,nearest_neighbors,5,,0.0461428571428572
MNIST,nearest_neighbors,6,,0.0492997999428408
MNIST,nearest_neighbors,7,,0.0441554729922835
MNIST,nearest_neighbors,8,,0.0495855958845384
MNIST,nearest_neighbors,9,,0.0491850157277667
MNIST,nearest_neighbors,10,,0.045337528604119
MNIST_EMNIST,nearest_neighbors,1,,0.0451267404498393
MNIST_EMNIST,nearest_neighbors,2,,0.0463439017423593
MNIST_EMNIST,nearest_neighbors,3,,0.0472007997714939
MNIST_EMNIST,nearest_neighbors,4,,0.0483536890222127
MNIST_EMNIST,nearest_neighbors,5,,0.0489285714285714
